correo,real,predicho,correcto
Te invito a la fiesta del sábado,Personal,Personal,True
Recordatorio de reunión con cliente,Trabajo,Trabajo,True
¡Compra ahora y recibe 50% de descuento!,Publicidad,Publicidad,True
"Has ganado un iPhone, haz clic aquí",Spam,Publicidad,False
¿Podemos almorzar mañana?,Personal,Personal,True
Factura pendiente de pago,Trabajo,Trabajo,True
Oferta exclusiva solo por hoy,Publicidad,Publicidad,True
Actualiza tu cuenta bancaria,Spam,Publicidad,False
Informe semanal del proyecto,Trabajo,Trabajo,True
"Hola, ¿cómo estás?",Personal,Personal,True
